zhiwei_data,zhiwei_web,company_data,company_web,xinzhi1,address1,newtime1
系统测试工程师（放疗设备）_X18_010,https://jobs.51job.com/shanghai/105994602.html?s=01&amp;t=0,上海联影医疗科技有限公司,https://jobs.51job.com/all/co2550258.html,0.8-1万/月,上海,08-24
测试工程师,https://jobs.51job.com/shanghai-hkq/105990708.html?s=01&amp;t=0,北京博辉在线科技发展有限公司,https://jobs.51job.com/all/co186431.html,0.6-1.2万/月,上海-虹口区,08-24
软件测试工程师,https://jobs.51job.com/shanghai/105990421.html?s=01&amp;t=0,上海微盟企业发展有限公司,https://jobs.51job.com/all/co5183125.html,,上海,08-24
硬件测试工程师,https://jobs.51job.com/nantong/105989126.html?s=01&amp;t=0,上海创斯达机电有限公司,https://jobs.51job.com/all/co1519436.html,4.5-6千/月,异地招聘,08-24
系统测试工程师（应届）,https://jobs.51job.com/shanghai-jaq/105988527.html?s=01&amp;t=0,上海尚钧国际物流有限公司,https://jobs.51job.com/all/co4154752.html,6-8千/月,上海-静安区,08-24
测试工程师,https://jobs.51job.com/shanghai-xhq/105988452.html?s=01&amp;t=0,上海抱元网络科技有限公司,https://jobs.51job.com/all/co4215941.html,0.8-1.3万/月,上海-徐汇区,08-24
测试工程师,https://jobs.51job.com/shanghai-pdxq/105981295.html?s=01&amp;t=0,上海梵沫网络科技有限公司,https://jobs.51job.com/all/co5188643.html,1-1.5万/月,上海-浦东新区,08-24
中级测试工程师,https://jobs.51job.com/shanghai/105979466.html?s=01&amp;t=0,胜科金仕达数据系统（中国）有限公司,https://jobs.51job.com/all/co7403.html,1-1.4万/月,上海,08-24
测试工程师,https://jobs.51job.com/shanghai-pdxq/105978885.html?s=01&amp;t=0,上海纳铁福传动系统有限公司,https://jobs.51job.com/all/co2154114.html,1-1.5万/月,上海-浦东新区,08-24
自动化测试工程师,https://jobs.51job.com/shanghai/105970385.html?s=01&amp;t=0,上海钢联电子商务股份有限公司,https://jobs.51job.com/all/co2438497.html,1.2-1.7万/月,上海,08-24
气体测试工程师,https://jobs.51job.com/shanghai-mhq/105968699.html?s=01&amp;t=0,上海正帆科技股份有限公司,https://jobs.51job.com/all/co647731.html,6-8千/月,上海-闵行区,08-24
测试工程师-C++/C#,https://jobs.51job.com/shanghai-sjq/105966966.html?s=01&amp;t=0,开异智能技术（上海）有限公司,https://jobs.51job.com/all/co5046803.html,0.7-1.5万/月,上海-松江区,08-24
后台测试工程师,https://jobs.51job.com/guangzhou-thq/105954302.html?s=01&amp;t=0,广州小鹏汽车科技有限公司,https://jobs.51job.com/all/co3639184.html,1-2万/月,异地招聘,08-24
集成测试工程师,https://jobs.51job.com/shanghai/105943294.html?s=01&amp;t=0,中国航空无线电电子研究所,https://jobs.51job.com/all/co5180262.html,,上海,08-24
服务器运维及软件测试工程师,https://jobs.51job.com/shanghai-mhq/105684514.html?s=01&amp;t=0,上海肚肚熊信息技术有限公司,https://jobs.51job.com/all/co4972132.html,6-8千/月,上海-闵行区,08-24
测试工程师,https://jobs.51job.com/shanghai-xhq/105596332.html?s=01&amp;t=0,上海基分信息科技有限公司,https://jobs.51job.com/all/co2677185.html,6-8千/月,上海-徐汇区,08-24
测试工程师,https://jobs.51job.com/shanghai-xhq/105509008.html?s=01&amp;t=0,安歆·YU,https://jobs.51job.com/all/co4405191.html,0.8-1.4万/月,上海-徐汇区,08-24
软件测试工程师,https://jobs.51job.com/shanghai-jdq/105376114.html?s=01&amp;t=0,上海思由信息科技有限公司,https://jobs.51job.com/all/co2353850.html,0.6-1万/月,上海-嘉定区,08-24
高级光学测试工程师,https://jobs.51job.com/shanghai-xhq/105303219.html?s=01&amp;t=0,福州高意科技有限公司,https://jobs.51job.com/all/co932470.html,2-2.5万/月,上海-徐汇区,08-24
测试工程师,https://jobs.51job.com/shanghai-bsq/104981071.html?s=01&amp;t=0,上海讵光网络科技有限公司,https://jobs.51job.com/all/co5147349.html,0.8-1万/月,上海-宝山区,08-24
信息安全测试工程师,https://jobs.51job.com/shanghai-cnq/104724488.html?s=01&amp;t=0,上海心河信息技术有限公司,https://jobs.51job.com/all/co3308304.html,0.8-1.5万/月,上海-长宁区,08-24
电驱动系统测试工程师,https://jobs.51job.com/shanghai/104136608.html?s=01&amp;t=0,华域麦格纳电驱动系统有限公司,https://jobs.51job.com/all/co5112128.html,10-50万/年,上海,08-24
软件测试工程师,https://jobs.51job.com/shanghai/103845449.html?s=01&amp;t=0,上海电气自动化设计研究所有限公司,https://jobs.51job.com/all/co2657449.html,0.8-1万/月,上海,08-24
通信测试工程师（闵行项目处）,https://jobs.51job.com/shanghai-mhq/103443260.html?s=01&amp;t=0,上海优立检测技术股份有限公司,https://jobs.51job.com/all/co1994105.html,3.5-8千/月,上海-闵行区,08-24
质量/测试工程师,https://jobs.51job.com/shanghai-fxq/103318938.html?s=01&amp;t=0,上海华坤电器有限公司,https://jobs.51job.com/all/co3891348.html,4-8千/月,上海-奉贤区,08-24
高级设备测试工程师（偏软件）,https://jobs.51job.com/shanghai-jdq/102935234.html?s=01&amp;t=0,博世热力技术（上海）有限公司,https://jobs.51job.com/all/co2410815.html,,上海-嘉定区,08-24
产品测试工程师,https://jobs.51job.com/shanghai/102363582.html?s=01&amp;t=0,上海索罗思腾信息科技有限责任公司,https://jobs.51job.com/all/co3416736.html,6-8千/月,上海,08-24
芯片测试工程师,https://jobs.51job.com/shanghai-ptq/101643844.html?s=01&amp;t=0,上海兴工微电子有限公司,https://jobs.51job.com/all/co4941055.html,2-2.5万/月,上海-普陀区,08-24
软件测试工程师,https://jobs.51job.com/shanghai/101559229.html?s=01&amp;t=0,上海占庭信息技术有限公司,https://jobs.51job.com/all/co3749955.html,6.5-9千/月,上海,08-24
